cell_id,cycle,capacity
B0005,0,1.8564874208181574
B0005,1,1.846327249719927
B0005,2,1.8353491942234077
B0005,3,1.8352625275821128
B0005,4,1.8346455082120419
B0005,5,1.8356616600675495
B0005,6,1.8351461429226603
B0005,7,1.8257567905665537
B0005,8,1.8247738529891333
B0005,9,1.824613268496936
B0005,10,1.8246195526864504
B0005,11,1.8142019357673917
B0005,12,1.8137521577549054
B0005,13,1.8134404914735822
B0005,14,1.8025980036306504
B0005,15,1.80210690024615
B0005,16,1.802579500826209
B0005,17,1.8030683142834096
B0005,18,1.8027776247196041
B0005,19,1.8470259949329193
B0005,20,1.847417311283644
B0005,21,1.8361774213478947
B0005,22,1.8257807475776242
B0005,23,1.8251136435078368
B0005,24,1.8255815042203762
B0005,25,1.8140311275083907
B0005,26,1.8147691941158939
B0005,27,1.813969388710352
B0005,28,1.802765665167823
B0005,29,1.804077040117352
B0005,30,1.8518025516704486
B0005,31,1.8307038456739428
B0005,32,1.8199041089501267
B0005,33,1.8093079637028517
B0005,34,1.80460990458052
B0005,35,1.7993770651972192
B0005,36,1.7884432335370462
B0005,37,1.7829230484252723
B0005,38,1.7730337158018288
B0005,39,1.773037755078937
B0005,40,1.7678721106662054
B0005,41,1.7623150704093087
B0005,42,1.7676172924938447
B0005,43,1.762668359743147
B0005,44,1.7517304870664143
B0005,45,1.7418496047960008
B0005,46,1.7360913511847138
B0005,47,1.7936240148573608
B0005,48,1.7831890223273275
B0005,49,1.7673642076278957
B0005,50,1.7570177850353066
B0005,51,1.7468706179837907
B0005,52,1.7417172507457144
B0005,53,1.7364225056478186
B0005,54,1.7263217239235826
B0005,55,1.7158065389330133
B0005,56,1.710533351135192
B0005,57,1.706014499648521
B0005,58,1.7003110272642588
B0005,59,1.6945798601797895
B0005,60,1.6849029086609286
B0005,61,1.6744741591159717
B0005,62,1.6745692479879102
B0005,63,1.663716375981405
B0005,64,1.659013868748246
B0005,65,1.6538540573335014
B0005,66,1.642653782130131
B0005,67,1.6378578430223698
B0005,68,1.6327350407099108
B0005,69,1.6277528915533617
B0005,70,1.622125485521159
B0005,71,1.6113256603765849
B0005,72,1.6065631397488385
B0005,73,1.6015142233917594
B0005,74,1.590369231400328
B0005,75,1.5857889968242211
B0005,76,1.5849430707374117
B0005,77,1.5955263892495937
B0005,78,1.5747301747801037
B0005,79,1.5649019950937946
B0005,80,1.5597659473370362
B0005,81,1.5594815668184234
B0005,82,1.55468935359061
B0005,83,1.5488741079890418
B0005,84,1.538236598942558
B0005,85,1.527914258251028
B0005,86,1.5285252629756445
B0005,87,1.522647325284378
B0005,88,1.5174859938489869
B0005,89,1.605818899130659
B0005,90,1.5638491446744425
B0005,91,1.5480915247767786
B0005,92,1.5323755631868592
B0005,93,1.5269528268489705
B0005,94,1.5169573017136326
B0005,95,1.5118975960142693
B0005,96,1.5065638960681105
B0005,97,1.5015453526671363
B0005,98,1.4908444050400238
B0005,99,1.485868384561201
B0005,100,1.480413677976106
B0005,101,1.4752095869031632
B0005,102,1.4859035988304024
B0005,103,1.4960918298136696
B0005,104,1.4808005946928984
B0005,105,1.4697543268466824
B0005,106,1.4539012274845928
B0005,107,1.4541462067235693
B0005,108,1.455023751906683
B0005,109,1.449042163761236
B0005,110,1.4386709371480566
B0005,111,1.433445432156979
B0005,112,1.4333958900838095
B0005,113,1.42806487344776
B0005,114,1.4229203181741186
B0005,115,1.417429032731308
B0005,116,1.412409228794446
B0005,117,1.412578792940193
B0005,118,1.4075983731469897
B0005,119,1.4333920485221476
B0005,120,1.4382550176792908
B0005,121,1.4173547174485526
B0005,122,1.406981663677643
B0005,123,1.4012037783587625
B0005,124,1.3967008232726328
B0005,125,1.391284788852726
B0005,126,1.3862287677978349
B0005,127,1.3804366761974138
B0005,128,1.3752364150256224
B0005,129,1.3705128024895008
B0005,130,1.3705085566270399
B0005,131,1.3647355108681518
B0005,132,1.375392016895762
B0005,133,1.3861115151535393
B0005,134,1.3698500035838939
B0005,135,1.3647827949260758
B0005,136,1.3543220466259964
B0005,137,1.3546417018378962
B0005,138,1.3547039213192407
B0005,139,1.349314997503458
B0005,140,1.3441891937970554
B0005,141,1.3389913790695755
B0005,142,1.3389145230206971
B0005,143,1.3340066759761655
B0005,144,1.3286444309174914
B0005,145,1.3231708992276219
B0005,146,1.3181691588445197
B0005,147,1.3184664436640334
B0005,148,1.318293040102702
B0005,149,1.323872422244268
B0005,150,1.3601216766554785
B0005,151,1.3395306867947354
B0005,152,1.3290286565120697
B0005,153,1.3236741274998955
B0005,154,1.318633896753293
B0005,155,1.3134751321324272
B0005,156,1.3132020634442203
B0005,157,1.3077959946944353
B0005,158,1.3030329186405918
B0005,159,1.3033573559038205
B0005,160,1.3034100438655642
B0005,161,1.2978870806495706
B0005,162,1.2980735056918902
B0005,163,1.293463613844243
B0005,164,1.288003392619118
B0005,165,1.2874525221379407
B0005,166,1.3090153642307354
B0005,167,1.3250793286429356
B0006,0,2.035337591005598
B0006,1,2.0251402460314116
B0006,2,2.013326371345464
B0006,3,2.0132846655407413
B0006,4,2.000528337624771
B0006,5,2.0138990759931645
B0006,6,2.013101105626967
B0006,7,1.9687898262728398
B0006,8,1.9681661764334244
B0006,9,1.9572307917560536
B0006,10,1.9455991514129352
B0006,11,1.9347505044841131
B0006,12,1.9232799539368028
B0006,13,1.911889930948487
B0006,14,1.9010667141979305
B0006,15,1.8891989948061458
B0006,16,1.878278372248849
B0006,17,1.8675697161520206
B0006,18,1.8675892574453767
B0006,19,1.979626548250818
B0006,20,1.9575499080884022
B0006,21,1.9458150170787551
B0006,22,1.9242461121680094
B0006,23,1.9459811331421641
B0006,24,1.901407930553079
B0006,25,1.878674213680085
B0006,26,1.8683061328264219
B0006,27,1.8560244070082998
B0006,28,1.8451997961855777
B0006,29,1.857228890885317
B0006,30,1.9247760889090635
B0006,31,1.8822317526092551
B0006,32,1.855276687885587
B0006,33,1.8392508917181876
B0006,34,1.8185396073994429
B0006,35,1.8134770059567056
B0006,36,1.7971018450305436
B0006,37,1.7810046294120476
B0006,38,1.7710130422682329
B0006,39,1.7604712448170943
B0006,40,1.7502913788006587
B0006,41,1.7394925037732578
B0006,42,1.7546766553637203
B0006,43,1.7659390941842175
B0006,44,1.7337887419624838
B0006,45,1.713325912040734
B0006,46,1.7024077813673466
B0006,47,1.82371946178183
B0006,48,1.8081284050314708
B0006,49,1.7757610945034283
B0006,50,1.7447409841836798
B0006,51,1.729207034132373
B0006,52,1.7081086552553244
B0006,53,1.6975954237461768
B0006,54,1.6820634524029463
B0006,55,1.6714768322295086
B0006,56,1.6607591387047655
B0006,57,1.651121015038069
B0006,58,1.6401349256190927
B0006,59,1.6291999416165441
B0006,60,1.6088496302961666
B0006,61,1.6035244898969248
B0006,62,1.5989712144027983
B0006,63,1.5876273123575604
B0006,64,1.5829719744686166
B0006,65,1.567137636713563
B0006,66,1.5613446139713882
